measure,location,sex,age,cause,metric,year,val,upper,lower
Incidence,Federated States of Micronesia,Both,All Ages,Dysthymia,Number,2017,211.539738517,243.247061826,183.970202411
Incidence,Federated States of Micronesia,Both,All Ages,Anxiety disorders,Number,2017,540.36696898,580.875129514,503.672346606
Incidence,El Salvador,Both,All Ages,Major depressive disorder,Number,2017,190873.267105,212647.202922,172999.845303
Incidence,El Salvador,Both,All Ages,Dysthymia,Number,2017,9338.40813171,10641.2978308,8133.09777406
Incidence,El Salvador,Both,All Ages,Anxiety disorders,Number,2017,28621.8722113,30837.3320522,26532.2448423
Incidence,Papua New Guinea,Both,All Ages,Major depressive disorder,Number,2017,196813.641514,222064.325725,175017.191634
Incidence,Papua New Guinea,Both,All Ages,Dysthymia,Number,2017,16728.224283,19325.0347351,14491.6300905
Incidence,Papua New Guinea,Both,All Ages,Anxiety disorders,Number,2017,46446.0906593,50270.0005427,43158.6481333
Incidence,Costa Rica,Both,All Ages,Major depressive disorder,Number,2017,143899.974631,158625.359565,130617.228658
Incidence,Costa Rica,Both,All Ages,Dysthymia,Number,2017,7596.4309249,8619.56118458,6615.72622994
Incidence,Czech Republic,Both,All Ages,Major depressive disorder,Number,2017,331536.910998,367321.321896,301418.836232
Incidence,Czech Republic,Both,All Ages,Dysthymia,Number,2017,20599.8018913,23628.1650512,18058.9299158
Incidence,Czech Republic,Both,All Ages,Anxiety disorders,Number,2017,51445.6936907,54784.3041652,48111.9475069
Incidence,Northern Mariana Islands,Both,All Ages,Major depressive disorder,Number,2017,1102.31268039,1230.03018295,994.979060034
Incidence,Northern Mariana Islands,Both,All Ages,Dysthymia,Number,2017,117.461515441,136.444567273,101.023572528
Incidence,Northern Mariana Islands,Both,All Ages,Anxiety disorders,Number,2017,235.484405037,251.101910976,220.75025055
Incidence,Congo,Both,All Ages,Major depressive disorder,Number,2017,182314.959728,203469.281944,162862.921263
Incidence,Congo,Both,All Ages,Dysthymia,Number,2017,8142.03421201,9319.50241358,7035.95132135
Incidence,Congo,Both,All Ages,Anxiety disorders,Number,2017,26466.4951467,28474.7590023,24505.3775691
Incidence,North Korea,Both,All Ages,Major depressive disorder,Number,2017,628079.165446,699217.211843,566723.729611
Incidence,North Korea,Both,All Ages,Dysthymia,Number,2017,65680.0157961,75838.3721139,57008.4191852
Incidence,North Korea,Both,All Ages,Anxiety disorders,Number,2017,129818.820267,138637.494737,120729.879302
Incidence,Libya,Both,All Ages,Major depressive disorder,Number,2017,279476.297973,313390.781104,248238.08424
Incidence,Libya,Both,All Ages,Dysthymia,Number,2017,12370.7105581,14284.9432477,10678.8378768
Incidence,Libya,Both,All Ages,Anxiety disorders,Number,2017,49492.2714546,53338.3549788,46129.924884
Incidence,Croatia,Both,All Ages,Major depressive disorder,Number,2017,148473.91295,163166.540328,134592.968882
Incidence,Croatia,Both,All Ages,Dysthymia,Number,2017,8446.31924369,9653.06938578,7414.48551977
Incidence,Luxembourg,Both,All Ages,Anxiety disorders,Number,2017,3725.94606131,3987.71278054,3473.76518436
Incidence,Puerto Rico,Both,All Ages,Major depressive disorder,Number,2017,111269.202883,123012.35991,100139.248304
Incidence,Puerto Rico,Both,All Ages,Dysthymia,Number,2017,7308.28092407,8270.84807798,6394.04028935
Incidence,Puerto Rico,Both,All Ages,Anxiety disorders,Number,2017,22129.9524267,23631.753652,20650.5626727
Incidence,Morocco,Both,All Ages,Major depressive disorder,Number,2017,2241556.88046,2507713.08872,2014940.81514
Incidence,Morocco,Both,All Ages,Dysthymia,Number,2017,65978.9734219,75655.1508163,57326.0066211
Incidence,Morocco,Both,All Ages,Anxiety disorders,Number,2017,247958.205514,265511.23872,230341.096816
Incidence,Croatia,Both,All Ages,Anxiety disorders,Number,2017,20702.8587314,22122.6311683,19347.606889
Incidence,Luxembourg,Both,All Ages,Major depressive disorder,Number,2017,19820.7163722,21897.2457923,18009.3739224
Incidence,Luxembourg,Both,All Ages,Dysthymia,Number,2017,1367.06897711,1562.30621066,1184.36155768
Incidence,Uganda,Both,All Ages,Major depressive disorder,Number,2017,1497064.47882,1692598.03104,1335882.52475
Incidence,Uganda,Both,All Ages,Dysthymia,Number,2017,54975.5575138,63692.8963887,47055.1017873
Incidence,Uganda,Both,All Ages,Anxiety disorders,Number,2017,206582.180683,224575.311351,188452.480413
Incidence,"Virgin Islands, U.S.",Both,All Ages,Major depressive disorder,Number,2017,3393.42462015,3728.4884255,3078.43137759
Incidence,"Virgin Islands, U.S.",Both,All Ages,Dysthymia,Number,2017,206.774930101,234.638597084,180.012508003
Incidence,Taiwan (Province of China),Both,All Ages,Major depressive disorder,Number,2017,569667.482961,630652.056416,517780.686943
Incidence,Taiwan (Province of China),Both,All Ages,Dysthymia,Number,2017,66171.3665133,77000.6905438,57259.7749161
Incidence,Taiwan (Province of China),Both,All Ages,Anxiety disorders,Number,2017,118878.926548,126841.536808,110798.965928
Incidence,Cuba,Both,All Ages,Major depressive disorder,Number,2017,466836.499224,516147.251706,426510.579081
Incidence,Cuba,Both,All Ages,Dysthymia,Number,2017,22670.6871306,25772.6854627,19669.9460134
Incidence,Cuba,Both,All Ages,Anxiety disorders,Number,2017,69680.1761135,74512.1279188,65064.3991111
Incidence,Samoa,Both,All Ages,Major depressive disorder,Number,2017,3844.68410203,4290.82837548,3458.65934695
Incidence,Samoa,Both,All Ages,Dysthymia,Number,2017,372.111598348,426.527371305,323.752002068
Incidence,Samoa,Both,All Ages,Anxiety disorders,Number,2017,995.944494786,1071.71065113,928.530915289
Incidence,South Korea,Both,All Ages,Major depressive disorder,Number,2017,1776719.45386,1936771.65024,1640578.2092
Incidence,South Korea,Both,All Ages,Dysthymia,Number,2017,110381.309235,127617.584318,96356.7747141
Incidence,South Korea,Both,All Ages,Anxiety disorders,Number,2017,271623.578744,289968.042645,253939.19319
Incidence,Macedonia,Both,All Ages,Anxiety disorders,Number,2017,10860.7919745,11590.4043008,10175.322377
Incidence,Zambia,Both,All Ages,Major depressive disorder,Number,2017,464964.070877,523453.129408,414786.155694
Incidence,Zambia,Both,All Ages,Dysthymia,Number,2017,25556.5807063,29510.0518189,21929.2562393
Incidence,Zambia,Both,All Ages,Anxiety disorders,Number,2017,94183.1189119,101646.823738,86888.4318873
Incidence,Mali,Both,All Ages,Major depressive disorder,Number,2017,398185.387876,447337.303618,356457.522783
Incidence,Mali,Both,All Ages,Dysthymia,Number,2017,28655.466099,32799.2587035,24671.9373565
Incidence,Mali,Both,All Ages,Anxiety disorders,Number,2017,98110.5655296,105697.362825,90388.5774487
Incidence,Central African Republic,Both,All Ages,Major depressive disorder,Number,2017,179288.014998,202603.224228,160897.747742
Incidence,Central African Republic,Both,All Ages,Dysthymia,Number,2017,7418.27608641,8487.41522772,6408.3542337
Incidence,Central African Republic,Both,All Ages,Anxiety disorders,Number,2017,24997.2138091,27051.700923,23152.1807132
Incidence,Solomon Islands,Both,All Ages,Dysthymia,Number,2017,1131.72008242,1303.45310454,981.213226454
Incidence,Solomon Islands,Both,All Ages,Anxiety disorders,Number,2017,3219.22019803,3474.19203596,2991.73351417
Incidence,Singapore,Both,All Ages,Major depressive disorder,Number,2017,173915.983859,192112.4927,158551.641358
Incidence,Singapore,Both,All Ages,Dysthymia,Number,2017,13121.9925643,14967.5259036,11459.9183578
Incidence,Singapore,Both,All Ages,Anxiety disorders,Number,2017,29460.8483577,31586.0902592,27370.512432
Incidence,Equatorial Guinea,Both,All Ages,Major depressive disorder,Number,2017,47640.5840877,53707.1819924,42314.0621987
Incidence,Equatorial Guinea,Both,All Ages,Dysthymia,Number,2017,2022.00673136,2328.54694183,1732.72300609
Incidence,Equatorial Guinea,Both,All Ages,Anxiety disorders,Number,2017,7224.63124613,7792.46479467,6667.5964558
Incidence,Norway,Both,All Ages,Major depressive disorder,Number,2017,185707.662329,208077.56662,165671.892418
Incidence,Norway,Both,All Ages,Dysthymia,Number,2017,11949.9104002,13672.5798511,10373.3498467
Incidence,Norway,Both,All Ages,Anxiety disorders,Number,2017,40473.1646002,43656.5349566,37592.1984757
Incidence,Solomon Islands,Both,All Ages,Major depressive disorder,Number,2017,13037.7850942,14684.6418609,11585.0141448
Incidence,Belize,Both,All Ages,Major depressive disorder,Number,2017,10277.6957798,11518.6387134,9234.53937253
Incidence,Belize,Both,All Ages,Dysthymia,Number,2017,624.391193978,714.35877689,540.937748216
Incidence,Belize,Both,All Ages,Anxiety disorders,Number,2017,2619.13271001,2817.63967632,2432.07237166
Incidence,Guatemala,Both,All Ages,Major depressive disorder,Number,2017,507378.136163,564841.221416,458284.804869
Incidence,Guatemala,Both,All Ages,Dysthymia,Number,2017,23426.4674469,26963.6692945,20415.6759698
Incidence,Guatemala,Both,All Ages,Anxiety disorders,Number,2017,79290.6368468,85674.3007483,73631.3258286
Incidence,Mauritania,Both,All Ages,Major depressive disorder,Number,2017,87432.2983757,98099.6357301,78779.2570999
Incidence,Mauritania,Both,All Ages,Dysthymia,Number,2017,6077.19307208,6931.97923368,5250.61371217
Incidence,Mauritania,Both,All Ages,Anxiety disorders,Number,2017,19481.0223016,20958.2121993,17998.1003695
Incidence,Qatar,Both,All Ages,Major depressive disorder,Number,2017,117690.55034,133675.860238,103151.34551
Incidence,Qatar,Both,All Ages,Dysthymia,Number,2017,4892.83691206,5808.32879855,4116.88627446
Incidence,Qatar,Both,All Ages,Anxiety disorders,Number,2017,20356.4177185,22169.8663935,18677.7997559
Incidence,"Virgin Islands, U.S.",Both,All Ages,Anxiety disorders,Number,2017,627.378654707,671.128622649,585.785644663
Incidence,Honduras,Both,All Ages,Major depressive disorder,Number,2017,226648.987429,251991.144398,203690.109016
Incidence,Honduras,Both,All Ages,Dysthymia,Number,2017,12907.5814597,14864.0417718,11247.200149
Incidence,Honduras,Both,All Ages,Anxiety disorders,Number,2017,44203.6870199,47619.2679307,41093.4915609
Incidence,Cambodia,Both,All Ages,Major depressive disorder,Number,2017,340758.368351,381283.941259,304495.799068
Incidence,Cambodia,Both,All Ages,Dysthymia,Number,2017,33245.4571005,38152.7069402,28870.062272
Incidence,Cambodia,Both,All Ages,Anxiety disorders,Number,2017,81383.8979749,87289.6874898,75672.4565492
Incidence,Malta,Both,All Ages,Major depressive disorder,Number,2017,12761.6739288,14096.6539462,11513.4405412
Incidence,Malta,Both,All Ages,Dysthymia,Number,2017,1020.47735419,1162.52433282,885.689303165
Incidence,Malta,Both,All Ages,Anxiety disorders,Number,2017,2605.77812212,2783.59845565,2431.08469224
Incidence,Gabon,Both,All Ages,Major depressive disorder,Number,2017,66791.9185801,74576.3942992,60173.9655779
Incidence,Dominican Republic,Both,All Ages,Major depressive disorder,Number,2017,304440.776227,339059.668521,274954.862748
Incidence,Dominican Republic,Both,All Ages,Dysthymia,Number,2017,17503.211235,19947.2714042,15259.1276549
Incidence,Dominican Republic,Both,All Ages,Anxiety disorders,Number,2017,67385.12485,72057.6542696,62526.3295721
Incidence,Palestine,Both,All Ages,Major depressive disorder,Number,2017,219598.941676,246921.686518,197122.598112
Incidence,Palestine,Both,All Ages,Dysthymia,Number,2017,7571.4264859,8731.83044553,6562.298202
Incidence,Palestine,Both,All Ages,Anxiety disorders,Number,2017,34164.8648532,36722.7230586,31693.6296571
Incidence,Nicaragua,Both,All Ages,Major depressive disorder,Number,2017,171917.347289,191445.392313,155716.702675
Incidence,Nicaragua,Both,All Ages,Dysthymia,Number,2017,9152.92640813,10521.3385789,7992.59142294
Incidence,Nicaragua,Both,All Ages,Anxiety disorders,Number,2017,30017.9406332,32238.1989093,27841.0812629
Incidence,Oman,Both,All Ages,Dysthymia,Number,2017,7765.86894152,9116.52383024,6593.67118445
Incidence,Oman,Both,All Ages,Anxiety disorders,Number,2017,32908.6427779,35617.512422,30162.269551
Incidence,Hungary,Both,All Ages,Major depressive disorder,Number,2017,339582.873784,378659.030414,306902.336757
Incidence,Hungary,Both,All Ages,Dysthymia,Number,2017,19266.0758717,22085.0344222,16861.7440739
Incidence,Hungary,Both,All Ages,Anxiety disorders,Number,2017,47379.1920389,50465.2249846,44281.0857872
Incidence,Panama,Both,All Ages,Major depressive disorder,Number,2017,103941.963369,114988.302659,93961.419928
Incidence,Panama,Both,All Ages,Dysthymia,Number,2017,6054.75293495,6870.8218659,5292.27351349
Incidence,Panama,Both,All Ages,Anxiety disorders,Number,2017,18118.0675811,19454.8518606,16952.9740071
Incidence,Democratic Republic of the Congo,Both,All Ages,Major depressive disorder,Number,2017,2700621.98395,3038026.75221,2414415.96552
Incidence,Democratic Republic of the Congo,Both,All Ages,Dysthymia,Number,2017,121572.975871,139039.712463,105099.707971
Incidence,Democratic Republic of the Congo,Both,All Ages,Anxiety disorders,Number,2017,424859.649431,458548.261556,393320.786165
Incidence,Netherlands,Both,All Ages,Major depressive disorder,Number,2017,610157.533022,669399.81348,554269.578447
Incidence,Netherlands,Both,All Ages,Dysthymia,Number,2017,42114.4182088,47838.3599577,36565.3370535
Incidence,Netherlands,Both,All Ages,Anxiety disorders,Number,2017,115414.457038,123436.717636,108053.007457
Incidence,Oman,Both,All Ages,Major depressive disorder,Number,2017,170960.347909,195352.111355,149611.991425
Incidence,Niger,Both,All Ages,Major depressive disorder,Number,2017,474628.937092,532219.471665,423485.409785
Incidence,Niger,Both,All Ages,Dysthymia,Number,2017,28254.587001,32402.46672,24299.1519852
Incidence,Niger,Both,All Ages,Anxiety disorders,Number,2017,101992.518758,110131.483911,93764.8420622
Incidence,Vanuatu,Both,All Ages,Major depressive disorder,Number,2017,5888.59765261,6663.74127119,5273.15553976
Incidence,Vanuatu,Both,All Ages,Dysthymia,Number,2017,520.939029375,597.768749981,452.309194573
Incidence,Vanuatu,Both,All Ages,Anxiety disorders,Number,2017,1451.05576381,1562.37604606,1349.99280939
Incidence,Sudan,Both,All Ages,Major depressive disorder,Number,2017,1360159.20622,1533837.9624,1204738.83905
Incidence,Sudan,Both,All Ages,Dysthymia,Number,2017,59652.3739864,68974.5598505,51726.8291569
Incidence,Sudan,Both,All Ages,Anxiety disorders,Number,2017,281093.532717,302899.391887,260026.99292
Incidence,Lesotho,Both,All Ages,Major depressive disorder,Number,2017,110861.41468,123667.127322,99695.1744268
Incidence,Lesotho,Both,All Ages,Dysthymia,Number,2017,3381.94896251,3868.36550119,2918.20021247
Incidence,Lesotho,Both,All Ages,Anxiety disorders,Number,2017,11009.7096405,11932.3667333,10152.0910469
Incidence,Spain,Both,All Ages,Major depressive disorder,Number,2017,1674560.38217,1838939.58514,1533197.28555
Incidence,Spain,Both,All Ages,Dysthymia,Number,2017,99237.1896032,112920.387862,85673.3216442
Incidence,Spain,Both,All Ages,Anxiety disorders,Number,2017,268667.349592,285751.759507,251989.995927
Incidence,Syria,Both,All Ages,Major depressive disorder,Number,2017,633036.24108,707358.620018,566314.880174
Incidence,Syria,Both,All Ages,Dysthymia,Number,2017,31033.9853732,35419.0215716,26944.0392543
Incidence,Syria,Both,All Ages,Anxiety disorders,Number,2017,131969.138952,141299.339801,122752.565612
Incidence,New Zealand,Both,All Ages,Major depressive disorder,Number,2017,141882.96244,159643.249223,126465.432119
Incidence,New Zealand,Both,All Ages,Dysthymia,Number,2017,11082.4195336,12551.391081,9688.95798131
Incidence,New Zealand,Both,All Ages,Anxiety disorders,Number,2017,36566.6521958,39432.4475456,33905.5759098
Incidence,Laos,Both,All Ages,Major depressive disorder,Number,2017,128269.713931,143123.821028,114745.049243
Incidence,Laos,Both,All Ages,Dysthymia,Number,2017,13756.0807467,15820.5562477,11923.1880298
Incidence,Laos,Both,All Ages,Anxiety disorders,Number,2017,41084.3077077,44116.1613947,38089.9553163
Incidence,Tonga,Both,All Ages,Major depressive disorder,Number,2017,1903.20667499,2127.05579552,1703.54722877
Incidence,Tonga,Both,All Ages,Dysthymia,Number,2017,204.124096319,233.67659963,177.944133813
Incidence,Tonga,Both,All Ages,Anxiety disorders,Number,2017,528.008477504,567.70481726,492.406607559
Incidence,Venezuela,Both,All Ages,Major depressive disorder,Number,2017,890210.41033,983598.898556,808208.372628
Incidence,Venezuela,Both,All Ages,Dysthymia,Number,2017,48072.2727452,54735.5607172,41911.9154592
Incidence,Venezuela,Both,All Ages,Anxiety disorders,Number,2017,144264.278186,155143.780264,134588.660169
Incidence,South Sudan,Both,All Ages,Major depressive disorder,Number,2017,271486.208092,303615.842263,242526.591904
Incidence,South Sudan,Both,All Ages,Dysthymia,Number,2017,14103.453681,16211.7880889,12085.1513039
Incidence,South Sudan,Both,All Ages,Anxiety disorders,Number,2017,53118.6830191,57196.4026706,48867.193438
Incidence,Andorra,Both,All Ages,Major depressive disorder,Number,2017,2858.24166686,3178.60947533,2587.20116677
Incidence,Andorra,Both,All Ages,Dysthymia,Number,2017,190.021057378,218.679128248,164.649640458
Incidence,Andorra,Both,All Ages,Anxiety disorders,Number,2017,507.755637976,543.47057378,473.671065437
Incidence,Guyana,Both,All Ages,Major depressive disorder,Number,2017,33632.6130201,37287.9007499,30590.8459214
Incidence,Guyana,Both,All Ages,Dysthymia,Number,2017,1234.5267595,1405.71655867,1073.46199139
Incidence,Guyana,Both,All Ages,Anxiety disorders,Number,2017,4787.41846479,5122.44676493,4447.07685455
Incidence,Comoros,Both,All Ages,Major depressive disorder,Number,2017,20185.7818523,22495.4954086,18096.2046484
Incidence,Comoros,Both,All Ages,Dysthymia,Number,2017,1225.77236755,1405.87802401,1057.1468302
Incidence,Comoros,Both,All Ages,Anxiety disorders,Number,2017,3945.36275399,4250.91887246,3652.7799973
Incidence,Macedonia,Both,All Ages,Major depressive disorder,Number,2017,54427.2985371,60341.5476773,49369.2068777
Incidence,Macedonia,Both,All Ages,Dysthymia,Number,2017,4136.02053445,4743.77072357,3627.18463913
Incidence,Malaysia,Both,All Ages,Anxiety disorders,Number,2017,181603.719607,195493.730208,169305.596534
Incidence,Botswana,Both,All Ages,Major depressive disorder,Number,2017,85673.2218497,95553.1507395,77207.4583908
Incidence,Botswana,Both,All Ages,Dysthymia,Number,2017,4111.7769285,4722.40886496,3537.87328187
Incidence,Botswana,Both,All Ages,Anxiety disorders,Number,2017,13040.4242522,14098.8908504,12041.4151403
Incidence,Haiti,Both,All Ages,Major depressive disorder,Number,2017,317333.571097,355350.887692,283085.44742
Incidence,Haiti,Both,All Ages,Dysthymia,Number,2017,17818.1936491,20429.9371424,15396.898311
Incidence,Haiti,Both,All Ages,Anxiety disorders,Number,2017,76844.4512061,82609.5959022,71312.6098154
Incidence,Montenegro,Both,All Ages,Major depressive disorder,Number,2017,17641.3981234,19496.8801608,16000.4797445
Incidence,Mexico,Both,All Ages,Major depressive disorder,Number,2017,3269678.51594,3613620.50308,2973676.39161
Incidence,Mexico,Both,All Ages,Dysthymia,Number,2017,213976.873116,244105.862678,187376.791029
Incidence,Mexico,Both,All Ages,Anxiety disorders,Number,2017,617082.520955,668596.521988,568229.266862
Incidence,Nigeria,Both,All Ages,Major depressive disorder,Number,2017,6100589.76783,6795590.75086,5478179.17846
Incidence,Nigeria,Both,All Ages,Dysthymia,Number,2017,305236.798987,349347.915138,263500.466288
Incidence,Nigeria,Both,All Ages,Anxiety disorders,Number,2017,1014048.19025,1092455.57254,934708.132173
Incidence,Slovakia,Both,All Ages,Major depressive disorder,Number,2017,142359.356827,157656.370654,128769.639946
Incidence,Slovakia,Both,All Ages,Dysthymia,Number,2017,10505.540482,12089.6746547,9202.79513347
Incidence,Slovakia,Both,All Ages,Anxiety disorders,Number,2017,26921.4208738,28667.0408045,25123.1326689
Incidence,Gabon,Both,All Ages,Dysthymia,Number,2017,2961.10590151,3382.15209864,2552.88218042
Incidence,South Africa,Both,All Ages,Major depressive disorder,Number,2017,2052729.14779,2260152.4182,1867007.42648
Incidence,Sao Tome and Principe,Both,All Ages,Major depressive disorder,Number,2017,4954.16514691,5586.45443961,4409.88182462
Incidence,Sao Tome and Principe,Both,All Ages,Dysthymia,Number,2017,326.732121637,374.124783975,282.542554039
Incidence,Sao Tome and Principe,Both,All Ages,Anxiety disorders,Number,2017,1013.96356562,1090.60334676,938.466419981
Incidence,Dominica,Both,All Ages,Major depressive disorder,Number,2017,1856.59313134,2056.65600673,1679.37855737
Incidence,Dominica,Both,All Ages,Dysthymia,Number,2017,126.719696865,143.241016632,110.473919007
Incidence,Dominica,Both,All Ages,Anxiety disorders,Number,2017,436.52311194,465.609546604,407.036313055
Incidence,Saudi Arabia,Both,All Ages,Major depressive disorder,Number,2017,1377362.69985,1554512.04949,1214919.72178
Incidence,Saudi Arabia,Both,All Ages,Dysthymia,Number,2017,62879.4528252,73464.8364732,53650.3462575
Incidence,Saudi Arabia,Both,All Ages,Anxiety disorders,Number,2017,255617.446912,275031.096008,236281.674995
Incidence,Montenegro,Both,All Ages,Dysthymia,Number,2017,1176.90998464,1345.72439586,1031.30550009
Incidence,Montenegro,Both,All Ages,Anxiety disorders,Number,2017,3116.62491543,3318.02205039,2920.55098348
Incidence,Australia,Both,All Ages,Major depressive disorder,Number,2017,1062805.18437,1171474.27019,970331.251299
Incidence,Australia,Both,All Ages,Dysthymia,Number,2017,55850.101801,63382.9011659,49020.4785536
Incidence,Australia,Both,All Ages,Anxiety disorders,Number,2017,173308.177704,185020.751478,161117.313998
Incidence,Gabon,Both,All Ages,Anxiety disorders,Number,2017,9174.44981361,9888.11792845,8512.14653299
Incidence,South Africa,Both,All Ages,Dysthymia,Number,2017,105198.391593,120846.574306,91003.1464386
Incidence,South Africa,Both,All Ages,Anxiety disorders,Number,2017,329135.780161,358206.915428,303454.255217
Incidence,Belgium,Both,All Ages,Major depressive disorder,Number,2017,468391.047514,515249.852943,427618.640607
Incidence,Belgium,Both,All Ages,Dysthymia,Number,2017,24801.2258853,28246.6129447,21714.8202306
Incidence,Belgium,Both,All Ages,Anxiety disorders,Number,2017,69097.6177325,73829.6157674,64776.8727367
