id,year,title,langname,gcode,area,langfamily,affiliation,longitude,latitude
mdp.39015029444596,1992,Aḋṅa-mat̂-n̂a-English dictionary / John McEntee and Pearl McKenzie.,Adnyamathanha,adny1235,Australia,Pama-Nyungan,"Pama-Nyungan,Arandic-Thura-Yura,Thura-Yura,Core Thura Yura,Northern Thura-Yura",138.671,-30.1451
mdp.39015041293906,1992,"A Badaga-English dictionary / by Paul Hockings, Christiane Pilot-Raichoor; forward by Murray B. Emeneau.",Badaga,bada1257,Eurasia,Dravidian,"Dravidian,South Dravidian,South Dravidian I,Tamil-Kannada,Badaga-Kannada",76.5974,11.3094
mdp.39015008988969,1979,A Balinese-English dictionary / by C. Clyde Barber._v.1,Balinese,bali1278,Papunesia,Austronesian,"Austronesian,Malayo-Polynesian,Malayo-Sumbawan,Northand East Malayo-Sumbawan,Bali-Sasak-Sumbawa",115.075,-8.35714
uva.x000310112,1975,"A basic English-French contextual dictionary / compiled and edited by John H. Brueckner ; French language consultants, Gérard Karcher ... [et al.].",French,stan1290,Eurasia,Indo-European,"Indo-European,Italic,Latino-Faliscan,Latinic,Imperial Latin,Romance,Italo-Western Romance,Western Romance,Shifted Western Romance,Northwestern Shifted Romance,Gallo-Rhaetian,Oil,Central Oil,Macro-French,Global French",2,48
mdp.39015053165034,1975,A basic English-Shona dictionary / Desmond Dale.,Shona,shon1251,Africa,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern Bantoid,Narrow Bantu,East Bantu,Shona (S.10),Core Shona,Plateau Shona,Central Shona",29.75725,-17.20849
uc1.31158003003034,1887,Abcarius' abridged English and Arabic dictionary / Yuḥannā Abkāriyūs.,North Levantine Arabic,nort3139,Eurasia,Afro-Asiatic,"Afro-Asiatic,Semitic,West Semitic,Central Semitic,Arabian,Arabic,Levantine Arabic",36.0468,34.1709
uva.x004068501,1996,"ABC Chinese-English dictionary : alphabetically based computerized / editor, John DeFrancis ; associate editors, Bai Yuqing ... [et al.].",Mandarin Chinese,mand1415,Eurasia,Sino-Tibetan,"Sino-Tibetan,Sinitic,Classical-Middle-Modern Sinitic,Middle-Modern Sinitic,Northern Chinese,Mandarinic",116.228,40.0209
uc1.b4437118,1949,"A.B.C. Japanese-English dictionary. An entirely new method of classification of the Chinese-Japanese characters, by Oreste Vaccari and Enko Elisa Vaccari._v.2",Japanese,nucl1643,Eurasia,Japonic,"Japonic,Japanesic,Japan-Taiwan Japanese",135,35
mdp.39015067817695,2006,"ABC Oxford practical dictionary : English into English and Urdu / compiled by M. Raza-ul-Haq Badakhshani, M. Saqlain Bhatti.",Urdu,urdu1245,Eurasia,Indo-European,"Indo-European,Indo-Iranian,Indo-Aryan,Indo-Aryan Centralzone,Subcontinental Central Indo-Aryan,Western Hindi,Hindustani",67,25
mdp.39015061543255,2002,"Śabda-sāgara, or, A comprehensive Sanskrit-English lexicon : chiefly based on Professor Horace Hayman Wilson's Sanskrit-English dictionary and compiled from various recent authorities for the use of schools and colleges / by Jibananda Vidyasagara.",Sanskrit,sans1269,Eurasia,Indo-European,"Indo-European,Indo-Iranian,Indo-Aryan",77,20
inu.32000002813659,1958,A Beginners' Chinese-English dictionary of the national language (Gwoyeu) / by W. Simon.,Mandarin Chinese,mand1415,Eurasia,Sino-Tibetan,"Sino-Tibetan,Sinitic,Classical-Middle-Modern Sinitic,Middle-Modern Sinitic,Northern Chinese,Mandarinic",116.228,40.0209
uiug.30112065518554,1951,Abridged edition of the student's English - Burmese dictionary / by Tun Nyein.,Burmese,nucl1310,Eurasia,Sino-Tibetan,"Sino-Tibetan,Burmo-Qiangic,Lolo-Burmese,Burmish,Southern Burmish,Nuclear Southern Burmish,Old-Modern Burmese",93.9665,20.7926
uva.x000832923,1980,"Abuan-English, English-Abuan dictionary / compiled by Ian Gardner.",Abua,abua1244,Africa,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Delta Cross,Central Delta,Abua-Odual",6.61492,4.83057
mdp.39015046004506,1981,"A Burmese-English dictionary; compiled by J. A. Stewart and C. W. Dunn, from material supplied by a large number of contributors._pt.3",Burmese,nucl1310,Eurasia,Sino-Tibetan,"Sino-Tibetan,Burmo-Qiangic,Lolo-Burmese,Burmish,Southern Burmish,Nuclear Southern Burmish,Old-Modern Burmese",93.9665,20.7926
inu.30000054513407,1995,"Abwaan Cusub oo Af-Soomaali iyo Af-Ingiriisiya = A modern Somali-English dictionary / Abdirahman A. Farah ""Barwaaqo.""",Somali,soma1255,Africa,Afro-Asiatic,"Afro-Asiatic,Cushitic,East Cushitic,Lowland East Cushitic,Southern Lowland East Cushitic,Mainstream Lowland East Cushitic,Omo-Tana,Eastern Omo-Tana",45.152856,4.778704
mdp.39015071199627,1907,A Cheap and concise dictionary of the Ojibway and English languages / compiled and abridged from larger editions by English and French authors._pt.2,Central Ojibwa,cent2136,North America,Algic,"Algic,Algonquian,Eastern Great Lakes Algonquian,Ojibwa-Potawatomi,Ojibwa,Nuclear Ojibwe,Central-Eastern-Southwestern Ojibwa",275.8457,46.5741
uc2.ark+=13960=t6sx6kj0c,1907,A Chinese and English dictionary : arranged according to radicals and sub-radicals / by P. Poletti.,Mandarin Chinese,mand1415,Eurasia,Sino-Tibetan,"Sino-Tibetan,Sinitic,Classical-Middle-Modern Sinitic,Middle-Modern Sinitic,Northern Chinese,Mandarinic",116.228,40.0209
hvd.32044036315430,1874,A Chinese and English pocket dictionary.,Mandarin Chinese,mand1415,Eurasia,Sino-Tibetan,"Sino-Tibetan,Sinitic,Classical-Middle-Modern Sinitic,Middle-Modern Sinitic,Northern Chinese,Mandarinic",116.228,40.0209
mdp.39015086589044,1892,A Chinese-English dictionary.,Mandarin Chinese,mand1415,Eurasia,Sino-Tibetan,"Sino-Tibetan,Sinitic,Classical-Middle-Modern Sinitic,Middle-Modern Sinitic,Northern Chinese,Mandarinic",116.228,40.0209
osu.32435058619396,1978,A Chinese-English dictionary / by Herbert A. Giles.,Mandarin Chinese,mand1415,Eurasia,Sino-Tibetan,"Sino-Tibetan,Sinitic,Classical-Middle-Modern Sinitic,Middle-Modern Sinitic,Northern Chinese,Mandarinic",116.228,40.0209
mdp.39015066421978,1970,"A Chinese-English dictionary. : Hakka-dialect as spoken in Kwang-tung province / Prepared by D. Maciver, M.A. Revised by M.C. Mackenzie.",Hakka Chinese,hakk1236,Eurasia,Sino-Tibetan,"Sino-Tibetan,Sinitic,Classical-Middle-Modern Sinitic,Middle-Modern Sinitic",116,25
uc1.$c135247,1973,"A Chinese-English dictionary in the Cantonese dialect, by Ernest John Eitel.",Cantonese,cant1236,Eurasia,Sino-Tibetan,"Sino-Tibetan,Sinitic,Classical-Middle-Modern Sinitic,Middle-Modern Sinitic,Yue-Pinghua,Yue Chinese,Yuehai",NA,NA
mdp.39015040030879,1991,"A Chinese-English dictionary of the Wu dialect : featuring the dialect of the city of Shanghai / [Thomas Creamer, editor in chief ... [et al.].",Wu Chinese,wuch1236,Eurasia,Sino-Tibetan,"Sino-Tibetan,Sinitic,Classical-Middle-Modern Sinitic,Middle-Modern Sinitic,Wu-Hui Chinese",119.682,29.8621
hvd.32044100017367,1828,A companion to Johnson's Dictionary in English and Bengalee. To which is prefixed an introduction to the Bengalee language. Adapted for the use of both native and European students. Vol. II. By John Mendies ..._v.2,Bengali,beng1280,Eurasia,Indo-European,"Indo-European,Indo-Iranian,Indo-Aryan,Indo-Aryan Easternzone,Oriya-Gauda-Kamrupa,Gauda-Kamrupa,Gauda-Banga",90,24
hvd.hwjlh5,1830,"A comparative dictionary of the German and English languages, arranged, on a new system, for the purpose of facilitating the student in the acquirement of the German tongue, by H. Berthold ...",German,stan1295,Eurasia,Indo-European,"Indo-European,Germanic,Northwest Germanic,West Germanic,High German,Upper German,Middle-Modern High German,Modern High German,Upper Franconian,Global German",12.4676,48.649
uc1.c083960613,1920,A comparative dictionary of the Pwo-Karen dialect : English-Pwo-Karen / compiled by W.C.B. Purser and Saya Tun Aung.,Pwo Eastern Karen,pwoe1235,Eurasia,Sino-Tibetan,"Sino-Tibetan,Karenic,Peripheral Karen,Pwo,Eastern-Western Pwo Karen",98.7355,15.1915
uva.x000077475,1979,A comparative dictionary of the Tahitian language : Tahitian-English with an English-Tahitian finding list / by Edmund Andrews and Irene D. Andrews.,Tahitian,tahi1242,Papunesia,Austronesian,"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Eastern Malayo-Polynesian,Oceanic,Central Pacificlinkage,Tokelau-Fijian,Polynesian,Nuclear Polynesian,Northern Outlier Polynesian-East Polynesian,Solomons Northern Outlier Polynesian-East Polynesian,Central Northern Outlier Polynesian-East Polynesian,East Polynesian,Central Eastern Polynesian,Tahitian-Austral",210.55,-17.6485
nyp.33433070242890,1874,A compendious dictionary of the French language. (French-English - English-French),French,stan1290,Eurasia,Indo-European,"Indo-European,Italic,Latino-Faliscan,Latinic,Imperial Latin,Romance,Italo-Western Romance,Western Romance,Shifted Western Romance,Northwestern Shifted Romance,Gallo-Rhaetian,Oil,Central Oil,Macro-French,Global French",2,48
hvd.hwsi9b,1874,"A compendious dictionary of the French language (French, English:- English-French). Followed by a list of the principal diverging derivations, and preceded by chronological and historical tables.",French,stan1290,Eurasia,Indo-European,"Indo-European,Italic,Latino-Faliscan,Latinic,Imperial Latin,Romance,Italo-Western Romance,Western Romance,Shifted Western Romance,Northwestern Shifted Romance,Gallo-Rhaetian,Oil,Central Oil,Macro-French,Global French",2,48
coo1.ark+=13960=t23b6kx7h,1882,"A compendious German and English dictionary : German-English, English-German : with notation of correspondences and brief etymologies / by William Dwight Whitney, assisted by August Hjalmar Edgren.",German,stan1295,Eurasia,Indo-European,"Indo-European,Germanic,Northwest Germanic,West Germanic,High German,Upper German,Middle-Modern High German,Modern High German,Upper Franconian,Global German",12.4676,48.649
uc1.c042147711,1915,"A compendious German and English dictionary, with notation of correspondences and brief etymologies, by William Dwight Whitney, assisted by August Hjalmar Edgren.",German,stan1295,Eurasia,Indo-European,"Indo-European,Germanic,Northwest Germanic,West Germanic,High German,Upper German,Middle-Modern High German,Modern High German,Upper Franconian,Global German",12.4676,48.649
uc1.c040941012,1890,"A compendium of Molesworth's Marathi and English dictionary, by Baba Padmanji.",Marathi,mara1378,Eurasia,Indo-European,"Indo-European,Indo-Iranian,Indo-Aryan,Indo-Aryan Southernzone,Marathic",76.6665,17.9344
mdp.39015014855962,1802,"A compleat English-German, German-English dictionary : Vollständiges Englisch-Deutsches und Deutsch-Englisches Lexicon._v.1",German,stan1295,Eurasia,Indo-European,"Indo-European,Germanic,Northwest Germanic,West Germanic,High German,Upper German,Middle-Modern High German,Modern High German,Upper Franconian,Global German",12.4676,48.649
coo.31924014111862,1925,A complete Chinese-English dictionary.,Mandarin Chinese,mand1415,Eurasia,Sino-Tibetan,"Sino-Tibetan,Sinitic,Classical-Middle-Modern Sinitic,Middle-Modern Sinitic,Northern Chinese,Mandarinic",116.228,40.0209
uc1.l0085268639,1937,A complete Chinese-English dictionary / by O. Z. Tsang.,Mandarin Chinese,mand1415,Eurasia,Sino-Tibetan,"Sino-Tibetan,Sinitic,Classical-Middle-Modern Sinitic,Middle-Modern Sinitic,Northern Chinese,Mandarinic",116.228,40.0209
chi.14683124,1851,"A complete dictionary English and Polish and Polish and English, comp. from the dictionaries of Johnson, Webster, Walker, Fleming and Tibbins, etc. from the Polish lexicon of Linde and the Polish German dictionary of Mrongovius ..._v.2",Polish,poli1260,Eurasia,Indo-European,"Indo-European,Balto-Slavic,Slavic,West Slavic,Lechitic",18.6255,51.8439
hvd.hwsh8t,1847,A complete dictionary of the English and German and German and English languages …_2,German,stan1295,Eurasia,Indo-European,"Indo-European,Germanic,Northwest Germanic,West Germanic,High German,Upper German,Middle-Modern High German,Modern High German,Upper Franconian,Global German",12.4676,48.649
hvd.hwjlfm,1830,A complete dictionary of the English and German and German and English languages : containing all the words in general use._v.2,German,stan1295,Eurasia,Indo-European,"Indo-European,Germanic,Northwest Germanic,West Germanic,High German,Upper German,Middle-Modern High German,Modern High German,Upper Franconian,Global German",12.4676,48.649
uc1.32106020066517,1838,"A complete dictionary of the English and German, and German and English languages. v.1. English and German compiled by J.G. Flugel (v.2. German and English..by J. Sporschil)._v.1",German,stan1295,Eurasia,Indo-European,"Indo-European,Germanic,Northwest Germanic,West Germanic,High German,Upper German,Middle-Modern High German,Modern High German,Upper Franconian,Global German",12.4676,48.649
loc.ark+=13960=t8hd9264n,1843,"A complete English-Latin and Latin-English dictionary,",Latin,lati1261,Eurasia,Indo-European,"Indo-European,Italic,Latino-Faliscan,Latinic,Imperial Latin",12.4502,41.9026
hvd.hwsfxr,1871,A complete English-Latin and Latin-English dictionary. Chiefly from the German New ed.,Latin,lati1261,Eurasia,Indo-European,"Indo-European,Italic,Latino-Faliscan,Latinic,Imperial Latin",12.4502,41.9026
hvd.hwmjz8,1846,A complete Hebrew and English critical and pronouncing dictionary.,Standard Hebrew,stan1314,Eurasia,Afro-Asiatic,"Afro-Asiatic,Semitic,West Semitic,Central Semitic,Northwest Semitic,Canaanite,Hebrewic,Modern Hebrew",NA,NA
uc1.31378007584249,1903,A complete Latin-English and English-Latin dictionary for the use of junior students.,Latin,lati1261,Eurasia,Indo-European,"Indo-European,Italic,Latino-Faliscan,Latinic,Imperial Latin",12.4502,41.9026
uc2.ark+=13960=t9m33309m,1814,A complete pocket dictionary of the English and German languages / by W. Render.,German,stan1295,Eurasia,Indo-European,"Indo-European,Germanic,Northwest Germanic,West Germanic,High German,Upper German,Middle-Modern High German,Modern High German,Upper Franconian,Global German",12.4676,48.649
mdp.39015025905376,1892,A complete pronouncing dictionary of the English and Bohemian languages for general use.,Czech,czec1258,Eurasia,Indo-European,"Indo-European,Balto-Slavic,Slavic,West Slavic,Czech-Slovak,Czech-Lach",15.10437,49.873398
uc1.$b602376,1919,"A complete pronouncing dictionary of the English and Slovene languages for general use, by F.J. Kern = Popoln angleško-slovenski besednjak z angleško izgovarjavo, spisal F.J. Kern.",Slovenian,slov1268,Eurasia,Indo-European,"Indo-European,Balto-Slavic,Slavic,South Slavic,Western South Slavic",14.7766,46.2543
mdp.39015055152618,1937,A comprehensive Bengali and English dictionary.,Bengali,beng1280,Eurasia,Indo-European,"Indo-European,Indo-Iranian,Indo-Aryan,Indo-Aryan Easternzone,Oriya-Gauda-Kamrupa,Gauda-Kamrupa,Gauda-Banga",90,24
mdp.39015013975803,1950,"A comprehensive dictionary, Armenian-English.",Eastern Armenian,nucl1235,Eurasia,Indo-European,"Indo-European,Armenic,Eastern-Western Armenian",45,40
uc2.ark+=13960=t4bp02d3j,1870,"A comprehensive dictionary, English and Marathi.",Marathi,mara1378,Eurasia,Indo-European,"Indo-European,Indo-Iranian,Indo-Aryan,Indo-Aryan Southernzone,Marathic",76.6665,17.9344
mdp.39015064308433,2006,A comprehensive Georgian-English dictionary / editors: Donald Rayfield (editor-in-chief) ... [et al.]._v.2,Georgian,nucl1302,Eurasia,Kartvelian,"Kartvelian,Georgian-Zan,Georgic",43.78613,41.850397
inu.30000003147505,1953,A concise dictionary of the English and Hungarian languages._pt.1,Hungarian,hung1274,Eurasia,Uralic,Uralic,19.65552714,46.90685857
hvd.hwshk9,1895,A concise dictionary of the English and modern Greek languages : as actually written and spoken : English-Greek / by A. N. Jannaris.,Modern Greek,mode1248,Eurasia,Indo-European,"Indo-European,Graeco-Phrygian,Greek,East Greek,Koineic Greek,Modern Koineic Greek,Nuclear Modern Greek",23.13,38.36
uc1.$b439936,1972,"A concise English-Chinese dictionary / [Chang Ch'i-ch'un, Ts'ai Wen-ying, compilers]",Mandarin Chinese,mand1415,Eurasia,Sino-Tibetan,"Sino-Tibetan,Sinitic,Classical-Middle-Modern Sinitic,Middle-Modern Sinitic,Northern Chinese,Mandarinic",116.228,40.0209
uc1.$b341502,1946,A concise English-Chinese dictionary : with Romanized standard pronunciation / Shau Wing Chan.,Mandarin Chinese,mand1415,Eurasia,Sino-Tibetan,"Sino-Tibetan,Sinitic,Classical-Middle-Modern Sinitic,Middle-Modern Sinitic,Northern Chinese,Mandarinic",116.228,40.0209
mdp.39015025909675,1939,"A concise English-Irish dictionary for the use of schools,",Irish,iris1253,Eurasia,Indo-European,"Indo-European,Celtic,Nuclear Celtic,T G B Celtic,Insular Celtic,Goidelic,Modern Goidelic",-7.61509,53.2186
mdp.39015008020227,1969,A concise English-Javnese dictionary.,Javanese,java1254,Papunesia,Austronesian,"Austronesian,Malayo-Polynesian,Javanesic,Modern Javanese",109.287,-7.001
mdp.39015066376933,1923,"A concise English-Kafir dictionary,",Kafir,kafi1242,Africa,Nubian,"Nubian,West-Central Nubian,Central Nubian,Kordofan Nubian,Eastern Kordofan Nubian,Kadaru",NA,NA
mdp.39015023593133,1988,A concise English-Nepali dictionary : with transliteration and Devanagari / by Kamal R. Adhikary.,Nepali,nepa1254,Eurasia,Indo-European,"Indo-European,Indo-Iranian,Indo-Aryan,Indo-Aryan Northernzone,Eastern Pahari",85,28
uva.x000763156,1958,A concise English-Swahili dictionary = Kamusi ya Kiingereza-Kiswahili / by R. A. Snoxall.,Swahili,swah1253,Africa,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern Bantoid,Narrow Bantu,East Bantu,Northeast Savanna Bantu,Northeast Coastal Bantu,Coastal N E C Bantu,Sabaki-Swahili,Swahili (G.40),Mombasa-Lamu-Inland Swahili",37.624,-8.25605
mdp.39015054075695,1915,"A concise Kaffir-English dictionary, by J. McLaren...",Kafir,kafi1242,Africa,Nubian,"Nubian,West-Central Nubian,Central Nubian,Kordofan Nubian,Eastern Kordofan Nubian,Kadaru",NA,NA
mdp.39015052977744,1990,A concise Nuxalk-English dictionary / H.F. Nater.,Bella Coola,bell1243,North America,Salishan,Salishan,233.311,52.3448
mdp.39015011598573,1926,"A concise Sanskrit-English dictionary,",Sanskrit,sans1269,Eurasia,Indo-European,"Indo-European,Indo-Iranian,Indo-Aryan",77,20
mdp.39015062084291,1986,A concise Sanskrit-English dictionary : containing an appendix on Sanskrit prosody and another on the names of noted mythological persons and a map of ancient India / by Vidyadhar Vaman Apte.,Sanskrit,sans1269,Eurasia,Indo-European,"Indo-European,Indo-Iranian,Indo-Aryan",77,20
osu.32435000935189,1955,A concise Xhosa-English dictionary.,Xhosa,xhos1239,Africa,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern Bantoid,Narrow Bantu,East Bantu,Southern Bantu-Makua,Nguni-Tsonga,Nguni (S.40),Southern Ndebele-Lowland,Zulu-Xhosa",28.0769,-31.0389
inu.32000006714002,1948,A concise Xhosa-English dictionary. Rev. in the new orthography by W.G. Bennie.,Xhosa,xhos1239,Africa,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern Bantoid,Narrow Bantu,East Bantu,Southern Bantu-Makua,Nguni-Tsonga,Nguni (S.40),Southern Ndebele-Lowland,Zulu-Xhosa",28.0769,-31.0389
uc1.b5074875,1924,"A condensed dictionary, English-Turkish,",Turkish,nucl1301,Eurasia,Turkic,"Turkic,Common Turkic,Oghuz,Nuclear Oghuz,West Oghuz",32.8667,39.8667
coo.31924097311827,1898,A copious and critical English-Latin dictionary / by William Smith and Theophilus D. Hall.,Latin,lati1261,Eurasia,Indo-European,"Indo-European,Italic,Latino-Faliscan,Latinic,Imperial Latin",12.4502,41.9026
hvd.hwsfxs,1860,"A copious and critical English-Latin lexicon, founded on the German-Latin dictionary of Charles Ernest Georges by Joseph Esmond Riddle and Thomas Kerchever Arnold.",Latin,lati1261,Eurasia,Indo-European,"Indo-European,Italic,Latino-Faliscan,Latinic,Imperial Latin",12.4502,41.9026
chi.12701816,1866,"A copious and critical Latin-English dictionary : abridged and re-arranged from Riddle's Latin-English lexicon : founded on the German-Latin dictionaries of Dr. William Freund : with a brief comparison and illustration of the most important Latin synonyms / compiled and abridged chiefly from the works of Dusmenil, Ramshorn, Döderlein, and Hill, by P. Bullions.",Latin,lati1261,Eurasia,Indo-European,"Indo-European,Italic,Latino-Faliscan,Latinic,Imperial Latin",12.4502,41.9026
uc2.ark+=13960=t4wh2qr5v,1851,A copious and critical Latin-English lexicon : founded on the German-Latin dictionaries / of Dr. William Freund by the Rev. Joseph Esmond Riddle.,Latin,lati1261,Eurasia,Indo-European,"Indo-European,Italic,Latino-Faliscan,Latinic,Imperial Latin",12.4502,41.9026
nyp.33433075914725,1871,"A copius and critical English-Latin dictionary, to which is added a dictionary of proper names / [by] Sir William Smith.",Latin,lati1261,Eurasia,Indo-European,"Indo-European,Italic,Latino-Faliscan,Latinic,Imperial Latin",12.4502,41.9026
uva.x000082550,1978,A Current Chinese-English dictionary = Xian dai Han Ying ci dian.,Mandarin Chinese,mand1415,Eurasia,Sino-Tibetan,"Sino-Tibetan,Sinitic,Classical-Middle-Modern Sinitic,Middle-Modern Sinitic,Northern Chinese,Mandarinic",116.228,40.0209
mdp.39015010219502,1890,"A Dakota-English dictionary, by Stephen Return Riggs. Ed. by James Owen Dorsey.",Dakota,dako1258,North America,Siouan,"Siouan,Core Siouan,Mississippi Valley,Dakotan,Sioux",257.88,47.6857
mdp.39015024552245,1965,"Aḥdath qāmūs jayb, ʻArabī-Inkilīzī. The up-to-date Arabic-English pocket dictionary / taʾlīf Muḥammad Ṭāhā Maḥmūd = Mohamed Taha Mahmud",Standard Arabic,stan1318,Eurasia,Afro-Asiatic,"Afro-Asiatic,Semitic,West Semitic,Central Semitic,Arabian,Arabic",43.8525,27.9625
umn.31951001859721a,1971,A dictionarie of the French and English tongues.,French,stan1290,Eurasia,Indo-European,"Indo-European,Italic,Latino-Faliscan,Latinic,Imperial Latin,Romance,Italo-Western Romance,Western Romance,Shifted Western Romance,Northwestern Shifted Romance,Gallo-Rhaetian,Oil,Central Oil,Macro-French,Global French",2,48
umn.31951002102834v,1883,"A dictionary, Burmese and English.",Burmese,nucl1310,Eurasia,Sino-Tibetan,"Sino-Tibetan,Burmo-Qiangic,Lolo-Burmese,Burmish,Southern Burmish,Nuclear Southern Burmish,Old-Modern Burmese",93.9665,20.7926
wu.89119131084,1858,"A dictionary, Canarese and English.",Kannada,nucl1305,Eurasia,Dravidian,"Dravidian,South Dravidian,South Dravidian I,Tamil-Kannada,Badaga-Kannada,Kannadoid,Nuclear Kannaoid",76.1198,13.5878
hvd.32044023423684,1868,"A dictionary, English and Armenian / by Father Paschal Aucher ; with the assistance of John Brand.",Eastern Armenian,nucl1235,Eurasia,Indo-European,"Indo-European,Armenic,Eastern-Western Armenian",45,40
uc1.31175021850295,1910,"A dictionary English and Gujarati; compiled for the Bombay Government Educational Department by Robert Montgomery, Ambalal Sakarlal Desai and Manidharprasad Tapiprasad Desai.",Gujarati,guja1252,Eurasia,Indo-European,"Indo-European,Indo-Iranian,Indo-Aryan,Indo-Aryan Centralzone,Subcontinental Central Indo-Aryan,Gujarati-Rajasthani,Gujaratic",71.0962,22.687
uc1.c3109381,1701,"A dictionary, English and Malayo, Malayo and English : to which is added some short grammar rules & directions for the better observation of the propriety and elegancy of this language, and also several miscellanies, dialogues, and letters, in English and Malayo, together with a table of time, computing the years and moons of the hegira to the years and months of the English stile ... / by Thomas Bowrey._v.2",Malayo,mala1522,South America,Chibchan,"Chibchan,Core Chibchan,Magdalenic,Northern Magdalenic,Arhuacic,Eastern-Southern Arhuacic,Eastern Arhuacic",286.5944,10.9286
wu.89119131167,1847,"A dictionary, English and Marathi : compiled for the government of Bombay / planned and commenced by J. T. Molesworth; continued and completed by T. Candy.",Marathi,mara1378,Eurasia,Indo-European,"Indo-European,Indo-Iranian,Indo-Aryan,Indo-Aryan Southernzone,Marathic",76.6665,17.9344
uc2.ark+=13960=t68342c1q,1873,"A dictionary, English and Marathi, compiled for the government of Bombay : planned and commenced by J. T. Molesworth, continued and completed by T. Candy / 2d ed., rev. and enl. by T. Candy.",Marathi,mara1378,Eurasia,Indo-European,"Indo-European,Indo-Iranian,Indo-Aryan,Indo-Aryan Southernzone,Marathic",76.6665,17.9344
uc2.ark+=13960=t57d2ws3r,1849,"A dictionary, English and Punjabee, outlines of grammar, also dialogues, English and Punjabee / with grammar and explanatory notes, by Captain Starkey ; assisted by Bussawa Sing.",Eastern Panjabi,panj1256,Eurasia,Indo-European,"Indo-European,Indo-Iranian,Indo-Aryan,Indo-Aryan Northwesternzone,Sindhi-Lahnda,Eastern Panjabic",75.6702,30.0368
mdp.39015087550490,1956,"A dictionary, English and Sanskrit.",Sanskrit,sans1269,Eurasia,Indo-European,"Indo-European,Indo-Iranian,Indo-Aryan",77,20
uc1.32106007011122,1976,"A dictionary, English and Sanskrit / Monier Williams.",Sanskrit,sans1269,Eurasia,Indo-European,"Indo-European,Indo-Iranian,Indo-Aryan",77,20
nyp.33433081854055,1849,"A dictionary, English and Sindhi. By Captain George Stack. Printed by order of the government of Bombay.",Sindhi,sind1272,Eurasia,Indo-European,"Indo-European,Indo-Iranian,Indo-Aryan,Indo-Aryan Northwesternzone,Sindhi-Lahnda,Sindhic",69,26
mdp.39015017680862,1986,"A dictionary, English and Sindhi / George Stack.",Sindhi,sind1272,Eurasia,Indo-European,"Indo-European,Indo-Iranian,Indo-Aryan,Indo-Aryan Northwesternzone,Sindhi-Lahnda,Sindhic",69,26
chi.22367573,1900,A dictionary: English and Tamil.,Tamil,tami1289,Eurasia,Dravidian,"Dravidian,South Dravidian,South Dravidian I,Tamil-Kannada,Tamil-Kota,Tamil-Toda,Tamil-Irula,Tamil-Kodagu,Tamil-Malayalam,Tamiloid,Tamil-Paliyan",78.825989,10.520219
wu.89089026439,1974,"A dictionary : English and Telugu, explaining the English idioms and phrases in Telugu, with the pronunciation of English words / prepared by Charles Philip Brown.",Telugu,telu1262,Eurasia,Dravidian,"Dravidian,South Dravidian,South Dravidian I I,Teluguic",78.7024,16.4529
uc1.l0074646258,1907,"A dictionary, English-Armenian / by V.H. Hagopian.",Eastern Armenian,nucl1235,Eurasia,Indo-European,"Indo-European,Armenic,Eastern-Western Armenian",45,40
uva.x001189188,1953,"A dictionary, English-Armenian / edited by Baghdasar B. Adjemian.",Eastern Armenian,nucl1235,Eurasia,Indo-European,"Indo-European,Armenic,Eastern-Western Armenian",45,40
hvd.hw22by,1755,"A dictionary, English-Latin, and Latin-English; : containing all things necessary for the translating of either language into the other ... / By Elisha Coles ...",Latin,lati1261,Eurasia,Indo-European,"Indo-European,Italic,Latino-Faliscan,Latinic,Imperial Latin",12.4502,41.9026
uc1.$b451953,1926,"A dictionary, English-Polish and Polish-English._v.1",Polish,poli1260,Eurasia,Indo-European,"Indo-European,Balto-Slavic,Slavic,West Slavic,Lechitic",18.6255,51.8439
hvd.32044060212156,1905,A dictionary from English to colloquial Mandarin Chinese / by George Carter Stent ; partly revised and supplement compiled by K.E.G. Hemeling.,Mandarin Chinese,mand1415,Eurasia,Sino-Tibetan,"Sino-Tibetan,Sinitic,Classical-Middle-Modern Sinitic,Middle-Modern Sinitic,Northern Chinese,Mandarinic",116.228,40.0209
nnc1.0111814829,1863,"A dictionary, Gujarátí and English.",Gujarati,guja1252,Eurasia,Indo-European,"Indo-European,Indo-Iranian,Indo-Aryan,Indo-Aryan Centralzone,Subcontinental Central Indo-Aryan,Gujarati-Rajasthani,Gujaratic",71.0962,22.687
mdp.39015024497573,1868,"A dictionary, Gujarátí and English, by Shápurjí Edaljí.",Gujarati,guja1252,Eurasia,Indo-European,"Indo-European,Indo-Iranian,Indo-Aryan,Indo-Aryan Centralzone,Subcontinental Central Indo-Aryan,Gujarati-Rajasthani,Gujaratic",71.0962,22.687
